function,gasUsage

crowdfundingFundSol,53555
crowdfundingFundASM,52897
crowdfundingFundSA,52845
crowdfundingPayoutSol,36032
crowdfundingPayoutASM,35224
crowdfundingPayoutSA,35189

50000
crowdfundingFundSol,53164
crowdfundingFundASM,52861
crowdfundingFundSA,52845
crowdfundingPayoutSol,35564
crowdfundingPayoutASM,35221
crowdfundingPayoutSA,35189

100000
crowdfundingFundSol,53164
crowdfundingFundASM,52861
crowdfundingFundSA,52845
crowdfundingPayoutSol,35564
crowdfundingPayoutASM,35221
crowdfundingPayoutSA,35189
